Cobb Salad w/ Spicy Grilled Filet (Cold),710,1,1,1,1,0,0
Cobb Salad w/ Spicy Chick-n-Strips®,860,1,1,1,1,0,0
Cobb Salad w/ Grilled Nuggets,730,1,1,0,1,0,0
Cobb Salad w/ Chick-fil-A Chick-n-Strips®,910,1,1,0,1,0,0
Cobb Salad w/ Grilled Filet (Cold),700,1,1,0,1,0,0
Cobb Salad w/ Chick-fil-A® Filet,850,1,1,0,1,0,0
Cobb Salad w/ Spicy Filet,870,1,1,1,1,0,0
Cobb Salad w/ Grilled Filet (Warm),700,1,1,0,1,0,0
Cobb Salad w/ No Chicken,600,1,1,0,1,0,0
Spicy Southwest Salad w/ Spicy Grilled Filet (Cold),690,1,0,1,0,0,0
Spicy Southwest Salad w/ Spicy Chick-fil-A Chick-n-Strips®,850,1,1,1,1,0,0
Spicy Southwest Salad w/ Grilled Filet (Cold),690,1,0,1,0,0,0
Spicy Southwest Salad w/ Nuggets,840,1,1,1,1,0,0
Spicy Southwest Salad w/ Grilled Nuggets,720,1,0,1,0,0,0
Spicy Southwest Salad w/ Chick-fil-A Chick-n-Strips®,890,1,1,1,1,0,0
Spicy Southwest Salad w/ Chick-fil-A® Filet,840,1,1,1,1,0,0
Spicy Southwest Salad w/ Spicy Filet,860,1,1,1,1,0,0
Spicy Southwest Salad w/ Grilled Filet (Warm),690,1,0,1,0,0,0
Spicy Southwest Salad w/ No Chicken,590,1,0,0,0,0,0
Grilled Market Salad w/ Grilled Filet (Cold),540,1,0,0,0,1,0
Grilled Market Salad w/ Spicy Grilled Filet (Cold),540,1,0,1,0,1,0
Grilled Market Salad w/ Chick-fil-A Chick-n-Strips®,750,1,1,0,1,1,0
Grilled Market Salad w/ Spicy Chick-n-Strips™️,710,1,1,1,1,1,0
Grilled Market Salad w/ Nuggets,690,1,1,0,1,1,0
Grilled Market Salad w/ Grilled Nuggets,570,1,0,0,0,1,0
Grilled Market Salad w/ Chick-fil-A® Filet,690,1,1,0,1,1,0
Grilled Market Salad w/ Spicy Filet,720,1,1,1,1,1,0
Grilled Market Salad w/ Grilled Filet (Warm),550,1,0,0,0,1,0
Grilled Market Salad w/ No Chicken,440,1,0,0,0,1,0
Chili Lime Pepitas,80,0,0,0,0,0,0
Crispy Bell Peppers,80,0,0,0,1,0,0
Harvest Nut Granola,70,0,0,0,0,1,0
Roasted Nut Blend,70,0,0,0,0,1,0
Seasoned Tortilla Strips,70,1,0,0,0,0,0
Lemon Parmesan Panko,0,0,0,0,0,0,0
Hot Chick-fil-A® Nugget Trays,30,1,1,0,1,0,0
Chilled Chick-fil-A® Nugget Trays,30,1,1,0,1,0,0
Hot Chick-n-Strips® Trays,110,1,1,0,1,0,0
Chilled Chick-n-Strips® Trays,110,1,1,0,1,0,0
Chilled Grilled Chicken Sub Sandwich Tray,220,1,0,1,1,0,0
Spicy Chilled Grilled Chicken Sub Sandwich Tray,210,1,0,1,1,0,0
Chick-fil-A® Cool Wrap Trays,480,1,0,1,1,0,0
Chocolate Chunk Cookie Tray,370,1,1,1,1,0,0
Chocolate Fudge Brownie Tray,190,1,1,1,1,0,0
Chocolate Chunk Cookie and Chocolate Fudge Brownie Tray,560,1,1,1,1,0,0
Hearty Breast of Chicken Soup 64 oz,880,1,1,1,1,0,0
Small Fruit Tray,780,0,0,0,0,0,0
Large Fruit Tray,1580,0,0,0,0,0,0
Small Mac & Cheese Tray,4920,1,1,1,1,0,0
Large Mac & Cheese Tray,9850,1,1,1,1,0,0
Small Garden Salad Tray,350,1,0,0,0,0,0
Large Garden Salad Tray,690,1,0,0,0,0,0
Small Kale Crunch Side Tray,570,0,0,0,0,0,0
Large Kale Crunch Side Tray,1260,0,0,0,0,0,0
Chick-fil-A® Chicken Biscuit,460,1,1,1,1,0,0
Spicy Chicken Biscuit,430,1,1,1,1,0,0
Egg White Grill,290,1,1,1,1,0,0
Chicken Egg & Cheese Biscuit,530,1,1,1,1,0,0
Bacon  Egg & Cheese Biscuit,420,1,1,1,1,0,0
Sausage  Egg & Cheese Biscuit,610,1,1,1,1,0,0
Chicken  Egg  & Cheese Muffin,420,1,1,1,1,0,0
Bacon  Egg & Cheese Muffin,310,1,1,1,1,0,0
Sausage  Egg & Cheese Muffin,500,1,1,1,1,0,0
Buttered Biscuit,290,1,0,1,1,0,0
English Muffin,140,0,0,0,1,0,0
Hash Browns,270,0,0,0,0,0,0
4 Chick-fil-A Chick-n-Minis,360,1,1,1,1,0,0
10 ct Chick-fil-A Chick-n-Minis,910,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Nuggets,700,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Sausage,720,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Grilled Filet,650,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Spicy Chick-n-Strips™️,670,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Spicy Chicken,690,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Nuggets - no hash browns,550,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Sausage - no hash browns,690,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Grilled Filet - no hash brown,500,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Spicy Chick-n-Strips™️ - no hash browns,560,1,1,1,1,0,0
Hash Brown Scramble Burrito w/ Spicy Chicken - no hash browns,550,1,1,1,1,0,0
Hash Brown Scramble Bowl w/ Nuggets,470,1,1,1,1,0,0
Hash Brown Scramble Bowl w/ Sausage,480,1,1,1,0,0,0
Hash Brown Scramble Bowl w/ Grilled Filet,410,1,1,1,0,0,0
Hash Brown Scramble Bowl w/ Spicy Chick-n-Strips™️,440,1,1,1,1,0,0
Hash Brown Scramble Bowl w/ Spicy Chicken,460,1,1,1,1,0,0
Hash Brown Scramble Bowl w/ Nuggets - no hash browns,320,1,1,1,1,0,0
Hash Brown Scramble Bowl w/ Sausage - no hash browns,320,1,1,1,0,0,0
Hash Brown Scramble Bowl w/ Grilled Filet - no hash browns,260,1,1,1,0,0,0
Hash Brown Scramble Bowl w/ Spicy Chick-n-Strips™️ - no hash browns,320,1,1,1,1,0,0
Hash Brown Scramble Bowl w/ Spicy Chicken - no hash browns,310,1,1,1,1,0,0
Avocado Lime Ranch Dressing,310,1,1,0,0,0,0
Creamy Salsa Dressing,290,0,1,0,0,0,0
Fat Free Honey Mustard Dressing,90,0,0,0,0,0,0
Garden Herb Ranch Dressing,280,1,1,0,0,0,0
Light Balsamic Vinaigrette Dressing,80,0,0,0,0,0,0
Light Italian Dressing,25,0,0,0,0,0,0
Zesty Apple Cider Vinaigrette Dressing,230,0,0,0,0,0,0
Chick-fil-A® Nuggets,160,1,1,0,1,0,0
Chilled Grilled Chicken Sub Sandwich,440,1,0,1,1,0,0
Spicy Chilled Grilled Chicken Sub Sandwich,430,1,0,1,1,0,0
Gallon Chick-fil-A® Iced Tea (1/2 Sweet Tea  1/2 Unsweet Tea),790,0,0,0,0,0,0
Gallon Chick-fil-A® Lemonade (1/2 Lemonade  1/2 Diet Lemonade),1390,0,0,0,0,0,0
Bottled Sweet Tea,190,0,0,0,0,0,0
Bottled Unsweet Tea,0,0,0,0,0,0,0
Bottled Lemonade,280,0,0,0,0,0,0
Bottled Diet Lemonade,60,0,0,0,0,0,0
Honest Kids® Fruit Punch,0,0,0,0,0,0,0
Ice Scoop,0,0,0,0,0,0,0
Ice Bucket,0,0,0,0,0,0,0
Catering Coffee,0,0,0,0,0,0,0
Regular 96 oz Coffee,0,0,0,0,0,0,0
Lettuce,5,0,0,0,0,0,0
Pickles,0,0,0,0,0,0,0
Tomato,5,0,0,0,0,0,0
American Cheese,50,1,0,0,0,0,0
Colby Jack Cheese,80,1,0,0,0,0,0
Pepper Jack Cheese,80,1,0,0,0,0,0
